operator_id,operator_name,point_id,site_external_id,connector_type,charging_mode,voltage,max_current,max_power_w,expected_w,ratio,categoria,severidade
ATLA,"Atlante Infra Portugal, S.A",CNT-80003-01,CNT-80003,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CNT-80003-02,CNT-80003,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CPR-80001-01,CPR-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CPR-80001-02,CPR-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CPV-80001-01,CPV-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CPV-80001-02,CPV-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CSC-00164-01,CSC-00164,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CSC-00168-03,CSC-00168,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CSC-00169-03,CSC-00169,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CSC-00170-03,CSC-00170,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CSC-80002-01,CSC-80002,iec62196T2,mode3AC3p,230.0,16.0,11000.0,6373.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CSC-80002-02,CSC-80002,iec62196T2,mode3AC3p,230.0,16.0,11000.0,6373.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CTB-00034-03,CTB-00034,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CTX-00004-03,CTX-00004,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CTX-80001-01,CTX-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CTX-80001-02,CTX-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CVD-80001-01,CVD-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CVD-80001-02,CVD-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ENT-00008-01,ENT-00008,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ESP-00011-01,ESP-00011,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ESP-00015-01,ESP-00015,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",ESP-00015-02,ESP-00015,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",EVR-00037-03,EVR-00037,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",EVR-00038-01,EVR-00038,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",EVR-00039-03,EVR-00039,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",FAF-00022-01,FAF-00022,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",FAF-00022-02,FAF-00022,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",FAF-80001-01,FAF-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",FAF-80001-02,FAF-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",FAR-00039-01,FAR-00039,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",FEC-00003-01,FEC-00003,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",FEC-00003-02,FEC-00003,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",FLG-00016-03,FLG-00016,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",FND-00018-01,FND-00018,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",FTR-80001-01,FTR-80001,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
